Employee ID,First Name,Last Name,Department,Position,Salary,Start Date,Email
1001,John,Smith,Engineering,Senior Developer,95000,2020-01-15,john.smith@company.com
1002,Sarah,Johnson,Marketing,Marketing Manager,85000,2019-06-20,sarah.j@company.com
1003,Michael,Brown,Sales,Sales Representative,65000,2021-03-10,m.brown@company.com
1004,Emily,Davis,HR,HR Specialist,70000,2020-09-01,emily.d@company.com
1005,David,Wilson,Engineering,Software Engineer,80000,2021-07-15,d.wilson@company.com
1006,Lisa,Anderson,Marketing,Content Specialist,60000,2022-01-10,l.anderson@company.com
1007,James,Taylor,Sales,Sales Manager,90000,2019-11-05,j.taylor@company.com
1008,Jennifer,Martin,HR,HR Manager,82000,2020-04-22,j.martin@company.com
1009,Robert,Clark,Engineering,DevOps Engineer,88000,2021-09-30,r.clark@company.com
1010,Patricia,White,Marketing,Digital Marketing,72000,2022-03-15,p.white@company.com 
